dessert_name,dessert_type,dessert_density,dessert_sweetness,dessert_tartness,time_eaten,ranking,chocolate,white_chocolate,m_and_ms,pretzels,caramel,banana,strawberry,blueberry,cherry,orange,lemon,diff_fruit,time
14,1,3,0,3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 11:41:41
73,4,1,2,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,3/29/2024 11:46:07
16,5,4,2,0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 11:47:43
10,4,0,2,0,3,9,1,0,0,0,0,0,1,0,0,0,0,0,3/29/2024 11:55:58
132,1,1,3,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,3/29/2024 12:04:32
90,4,1,2,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,3/29/2024 12:04:36
10,4,1,3,0,2,10,1,0,0,0,0,0,1,0,0,0,0,0,3/29/2024 12:04:40
92,7,3,3,2,2,10,0,0,0,0,0,0,0,0,0,0,1,0,3/29/2024 12:05:05
113,7,2,4,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:05:35
112,7,1,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:05:53
10,4,2,3,1,2,10,1,0,0,0,0,0,1,0,0,0,0,0,3/29/2024 12:06:48
23,1,2,2,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:07:04
97,0,3,4,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:09:34
100,4,2,3,0,2,9,1,0,0,1,0,0,0,0,0,0,0,0,3/29/2024 12:12:09
6,7,2,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:13:01
24,4,1,3,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:13:51
15,4,2,3,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:14:21
75,4,2,3,0,2,5,1,0,1,0,0,0,0,0,0,0,0,0,3/29/2024 12:15:15
41,4,0,3,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:15:25
120,4,2,2,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:15:51
97,0,3,4,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:16:43
102,7,2,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:17:07
83,4,2,2,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:17:25
118,0,1,3,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:18:27
8,6,2,1,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,3/29/2024 12:20:49
20,0,2,3,1,2,9,0,0,0,0,0,1,0,0,0,0,0,0,3/29/2024 12:21:33
67,0,2,2,2,2,10,0,0,0,0,0,0,0,0,0,0,0,1,3/29/2024 12:21:51
97,0,3,3,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:22:17
97,0,1,3,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:22:38
10,4,2,2,0,1,9,1,0,0,0,0,0,1,0,0,0,0,0,3/29/2024 12:22:52
131,7,2,3,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:22:54
16,7,4,1,0,2,10,1,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:23:26
97,5,2,4,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,3/29/2024 12:24:02
